MachineIdentifier,ProductName,EngineVersion,AppVersion,AvSigVersion,IsBeta,RtpStateBitfield,IsSxsPassiveMode,DefaultBrowsersIdentifier,AVProductStatesIdentifier,AVProductsInstalled,AVProductsEnabled,HasTpm,CountryIdentifier,CityIdentifier,OrganizationIdentifier,GeoNameIdentifier,LocaleEnglishNameIdentifier,Platform,Processor,OsVer,OsBuild,OsSuite,OsPlatformSubRelease,OsBuildLab,SkuEdition,IsProtected,AutoSampleOptIn,PuaMode,SMode,IeVerIdentifier,SmartScreen,Firewall,UacLuaenable,Census_MDC2FormFactor,Census_DeviceFamily,Census_OEMNameIdentifier,Census_OEMModelIdentifier,Census_ProcessorCoreCount,Census_ProcessorManufacturerIdentifier,Census_ProcessorModelIdentifier,Census_ProcessorClass,Census_PrimaryDiskTotalCapacity,Census_PrimaryDiskTypeName,Census_SystemVolumeTotalCapacity,Census_HasOpticalDiskDrive,Census_TotalPhysicalRAM,Census_ChassisTypeName,Census_InternalPrimaryDiagonalDisplaySizeInInches,Census_InternalPrimaryDisplayResolutionHorizontal,Census_InternalPrimaryDisplayResolutionVertical,Census_PowerPlatformRoleName,Census_InternalBatteryType,Census_InternalBatteryNumberOfCharges,Census_OSVersion,Census_OSArchitecture,Census_OSBranch,Census_OSBuildNumber,Census_OSBuildRevision,Census_OSEdition,Census_OSSkuName,Census_OSInstallTypeName,Census_OSInstallLanguageIdentifier,Census_OSUILocaleIdentifier,Census_OSWUAutoUpdateOptionsName,Census_IsPortableOperatingSystem,Census_GenuineStateName,Census_ActivationChannel,Census_IsFlightingInternal,Census_IsFlightsDisabled,Census_FlightRing,Census_ThresholdOptIn,Census_FirmwareManufacturerIdentifier,Census_FirmwareVersionIdentifier,Census_IsSecureBootEnabled,Census_IsWIMBootEnabled,Census_IsVirtualDevice,Census_IsTouchEnabled,Census_IsPenCapable,Census_IsAlwaysOnAlwaysConnectedCapable,Wdft_IsGamer,Wdft_RegionIdentifier,HasDetections
0000028988387b115f69f31a3bf04f09,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1735.0,0,7,0,,53447,1,1,1,29,128035,18,35,171,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1,0,,0,137,,1,1,Desktop,Windows.Desktop,2668,9124,4,5,2341,,476940,HDD,299451,0,4096,Desktop,18.9,1440,900,Desktop,,4294967295,10.0.17134.165,amd64,rs4_release,17134,165,Professional,PROFESSIONAL,UUPUpgrade,26,119,UNKNOWN,0,IS_GENUINE,Retail,,0,Retail,,628,36144,0,,0,0,0,0,0,10,0
000007535c3f730efa9ea0b7ef1bd645,win8defender,1.1.14600.4,4.13.17134.1,1.263.48.0,0,7,0,,53447,1,1,1,93,1482,18,119,64,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1,0,,0,137,,1,1,Notebook,Windows.Desktop,2668,91656,4,5,2405,,476940,HDD,102385,0,4096,Notebook,13.9,1366,768,Mobile,,1,10.0.17134.1,amd64,rs4_release,17134,1,Professional,PROFESSIONAL,IBSClean,8,31,UNKNOWN,0,OFFLINE,Retail,,0,NOT_SET,,628,57858,0,,0,0,0,0,0,8,0
000007905a28d863f6d0d597892cd692,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1341.0,0,7,0,,53447,1,1,1,86,153579,18,64,49,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,1,0,,0,137,RequireAdmin,1,1,Desktop,Windows.Desktop,4909,317701,4,5,1972,,114473,SSD,113907,0,4096,Desktop,21.5,1920,1080,Desktop,,4294967295,10.0.17134.165,amd64,rs4_release,17134,165,Core,CORE,UUPUpgrade,7,30,FullAuto,0,IS_GENUINE,OEM:NONSLP,,0,Retail,,142,52682,0,,0,0,0,0,0,3,0
00000b11598a75ea8ba1beea8459149f,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1527.0,0,7,0,,53447,1,1,1,88,20710,,117,115,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1,0,,0,137,ExistsNotSet,1,1,Desktop,Windows.Desktop,1443,275890,4,5,2273,,238475,UNKNOWN,227116,0,4096,MiniTower,18.5,1366,768,Desktop,,4294967295,10.0.17134.228,amd64,rs4_release,17134,228,Professional,PROFESSIONAL,UUPUpgrade,17,64,FullAuto,0,IS_GENUINE,OEM:NONSLP,,0,Retail,,355,20050,0,,0,0,0,0,0,3,1
000014a5f00daa18e76b81417eeb99fc,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1379.0,0,7,0,,53447,1,1,1,18,37376,,277,75,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,1,0,,0,137,RequireAdmin,1,1,Notebook,Windows.Desktop,1443,331929,4,5,2500,,476940,HDD,101900,0,6144,Portable,14,1366,768,Mobile,lion,0,10.0.17134.191,amd64,rs4_release,17134,191,Core,CORE,Update,8,31,FullAuto,0,IS_GENUINE,Retail,0,0,Retail,0,355,19844,0,0,0,0,0,0,0,1,1
000016191b897145d069102325cab760,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1094.0,0,7,0,,53447,1,1,1,97,13598,27,126,124,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1,0,,0,137,RequireAdmin,1,1,Desktop,Windows.Desktop,3799,340727,2,5,4324,,114473,SSD,113671,0,8192,Desktop,21.5,1920,1080,Desktop,,4294967295,10.0.17134.165,amd64,rs4_release,17134,165,Professional,PROFESSIONAL,UUPUpgrade,18,72,FullAuto,0,IS_GENUINE,Retail,0,0,Retail,0,93,51039,0,0,0,0,0,0,0,15,1
0000161e8abf8d8b89c5ab8787fd712b,win8defender,1.1.15100.1,4.18.1807.18075,1.273.845.0,0,7,0,,43927,2,1,1,78,81215,,89,88,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,1,0,,0,137,,1,1,Notebook,Windows.Desktop,3799,207404,2,1,657,,476940,HDD,458702,0,4096,Notebook,17.2,1600,900,Mobile,,0,10.0.17134.165,amd64,rs4_release,17134,165,Core,CORE,IBSClean,14,49,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,556,63175,1,,0,0,0,0,0,10,1
000019515bc8f95851aff6de873405e8,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1393.0,0,7,0,,53447,1,1,1,97,150323,27,126,124,windows10,x64,10.0.0.0,14393,768,rs1,14393.0.amd64fre.rs1_release.160715-1616,Home,1,0,,0,94,RequireAdmin,1,1,Notebook,Windows.Desktop,5682,338896,2,5,3381,,305245,HDD,290807,1,4096,Notebook,15.5,1366,768,Mobile,lion,0,10.0.14393.0,amd64,rs1_release,14393,0,Core,CORE,Upgrade,18,72,FullAuto,0,IS_GENUINE,Retail,0,0,Retail,0,512,63122,0,0,0,0,0,0,0,15,0
00001a027a0ab970c408182df8484fce,win8defender,1.1.15200.1,4.18.1807.18075,1.275.988.0,0,7,0,,53447,1,1,1,164,155006,27,205,172,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1,0,,0,137,RequireAdmin,1,1,Notebook,Windows.Desktop,2206,240688,4,5,2836,,305245,HDD,303892,0,4096,Notebook,15.6,1920,1080,Mobile,lion,0,10.0.17134.254,amd64,rs4_release,17134,254,Professional,PROFESSIONAL,Update,27,120,FullAuto,0,IS_GENUINE,Retail,,0,Retail,0,500,15510,0,0,0,0,0,0,0,15,0
00001a18d69bb60bda9779408dcf02ac,win8defender,1.1.15100.1,4.18.1807.18075,1.273.973.0,0,7,0,,46413,2,1,1,93,98572,27,119,64,windows10,x64,10.0.0.0,16299,768,rs3,16299.431.amd64fre.rs3_release_svc_escrow.180502-1908,Home,1,0,,0,,RequireAdmin,1,1,Notebook,Windows.Desktop,585,189457,4,5,2373,,953869,HDD,203252,1,8192,Notebook,15.5,1366,768,Mobile,lion,0,10.0.16299.431,amd64,rs3_release_svc_escrow,16299,431,CoreSingleLanguage,CORE_SINGLELANGUAGE,Upgrade,8,31,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,0,556,63555,1,0,0,0,0,0,1,8,1
